2025-03-31 12:30:00 --- Archivo 2025-03-31 12.30.log creado con éxito en D:\Python\Proyecto Final Administradores de Bases de Datos\static\logs\2025-03-31 12.30.log
2025-03-31 12:30:00 ---  * Debugger is active!
2025-03-31 12:30:00 ---  * Debugger PIN: 131-968-769
2025-03-31 12:30:34 --- Se abrió la página Homepage desde: 127.0.0.1
2025-03-31 12:30:34 --- 127.0.0.1 - - [31/Mar/2025 12:30:34] "GET / HTTP/1.1" 200 -
2025-03-31 12:30:35 --- 127.0.0.1 - - [31/Mar/2025 12:30:35] "GET /static/styles/bootstrap.css HTTP/1.1" 200 -
2025-03-31 12:30:35 --- 127.0.0.1 - - [31/Mar/2025 12:30:35] "GET /static/styles/chow_cards.css HTTP/1.1" 200 -
2025-03-31 12:30:35 --- 127.0.0.1 - - [31/Mar/2025 12:30:35] "GET /static/styles/chow.css HTTP/1.1" 200 -
2025-03-31 12:30:35 --- 127.0.0.1 - - [31/Mar/2025 12:30:35] "GET /static/images/web/leche.jpg HTTP/1.1" 200 -
2025-03-31 12:30:35 --- 127.0.0.1 - - [31/Mar/2025 12:30:35] "GET /static/images/web/ventas.jpg HTTP/1.1" 200 -
2025-03-31 12:30:35 --- 127.0.0.1 - - [31/Mar/2025 12:30:35] "GET /static/js/popper.js HTTP/1.1" 200 -
2025-03-31 12:30:35 --- 127.0.0.1 - - [31/Mar/2025 12:30:35] "GET /static/images/web/contactanos.jpg HTTP/1.1" 200 -
2025-03-31 12:30:35 --- 127.0.0.1 - - [31/Mar/2025 12:30:35] "GET /static/js/bootstrap.js HTTP/1.1" 200 -
2025-03-31 12:30:35 --- 127.0.0.1 - - [31/Mar/2025 12:30:35] "GET /static/images/web/fincafond.jpg HTTP/1.1" 200 -
2025-03-31 12:30:36 --- 127.0.0.1 - - [31/Mar/2025 12:30:36] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
2025-03-31 12:30:55 --- Se abrió la página Productos desde: 127.0.0.1
2025-03-31 12:30:55 --- 127.0.0.1 - - [31/Mar/2025 12:30:55] "GET /products HTTP/1.1" 200 -
2025-03-31 12:30:55 --- 127.0.0.1 - - [31/Mar/2025 12:30:55] "[36mGET /static/styles/bootstrap.css HTTP/1.1[0m" 304 -
2025-03-31 12:30:55 --- 127.0.0.1 - - [31/Mar/2025 12:30:55] "GET /static/styles/cards.css HTTP/1.1" 200 -
2025-03-31 12:30:55 --- 127.0.0.1 - - [31/Mar/2025 12:30:55] "[36mGET /static/styles/chow.css HTTP/1.1[0m" 304 -
2025-03-31 12:30:55 --- 127.0.0.1 - - [31/Mar/2025 12:30:55] "GET /static/images/products/product_1.png HTTP/1.1" 200 -
2025-03-31 12:30:55 --- 127.0.0.1 - - [31/Mar/2025 12:30:55] "GET /static/images/products/product_2.png HTTP/1.1" 200 -
2025-03-31 12:30:55 --- 127.0.0.1 - - [31/Mar/2025 12:30:55] "[36mGET /static/js/popper.js HTTP/1.1[0m" 304 -
2025-03-31 12:30:55 --- 127.0.0.1 - - [31/Mar/2025 12:30:55] "[36mGET /static/js/bootstrap.js HTTP/1.1[0m" 304 -
2025-03-31 12:31:04 --- Se abrió la página de perfiles desde: 127.0.0.1
2025-03-31 12:31:04 --- 127.0.0.1 - - [31/Mar/2025 12:31:04] "GET /profiles HTTP/1.1" 200 -
2025-03-31 12:31:04 --- 127.0.0.1 - - [31/Mar/2025 12:31:04] "[36mGET /static/styles/bootstrap.css HTTP/1.1[0m" 304 -
2025-03-31 12:31:04 --- 127.0.0.1 - - [31/Mar/2025 12:31:04] "[36mGET /static/styles/chow.css HTTP/1.1[0m" 304 -
2025-03-31 12:31:04 --- 127.0.0.1 - - [31/Mar/2025 12:31:04] "GET /static/images/users/user_1.jpg HTTP/1.1" 200 -
2025-03-31 12:31:04 --- 127.0.0.1 - - [31/Mar/2025 12:31:04] "GET /static/styles/cards_profile.css HTTP/1.1" 200 -
2025-03-31 12:31:04 --- 127.0.0.1 - - [31/Mar/2025 12:31:04] "[36mGET /static/js/popper.js HTTP/1.1[0m" 304 -
2025-03-31 12:31:04 --- 127.0.0.1 - - [31/Mar/2025 12:31:04] "GET /static/images/users/user_2.jpg HTTP/1.1" 200 -
